FAST_LENGTH,SLOW_LENGTH,SIGNAL_LENGTH,HISTOGRAM_UPPER_LIMIT,HISTOGRAM_LOWER_LIMIT,LOOKBACK_PERIOD,PRICE_MOVEMENT_THRESHOLD,trades_per_day,win_rate,total_trades,wins,losses,final_capital,profit_percentage
10,21,10,50,-100,2,0.01,0.9210526315789473,59.42857142857143,175,104,71,1021218.9421036423,2.121894210364227
10,21,10,50,-100,2,0.02,0.7736842105263158,62.585034013605444,147,92,55,1026911.8612458219,2.6911861245821926
10,21,10,50,-100,2,0.03,0.6473684210526316,64.22764227642277,123,79,44,1026738.1120769503,2.6738112076950262
10,21,10,50,-100,2,0.04,0.5105263157894737,64.94845360824742,97,63,34,1022520.2551225818,2.2520255122581845
10,21,10,50,-100,2,0.05,0.4368421052631579,66.26506024096386,83,55,28,1019091.5908282718,1.9091590828271814
10,21,10,50,-80,2,0.01,1.0473684210526315,59.798994974874375,199,119,80,1026379.5493535778,2.637954935357778
10,21,10,50,-80,2,0.02,0.8736842105263158,62.65060240963856,166,104,62,1030969.8494332,3.096984943319997
10,21,10,50,-80,2,0.03,0.7315789473684211,65.46762589928058,139,91,48,1034186.1693979594,3.4186169397959367
10,21,10,50,-80,2,0.04,0.5947368421052631,66.3716814159292,113,75,38,1029937.7157023195,2.993771570231952
10,21,10,50,-80,2,0.05,0.5157894736842106,68.36734693877551,98,67,31,1027401.0913548961,2.740109135489608
10,21,10,50,-60,2,0.01,1.194736842105263,60.792951541850215,227,138,89,1033248.323296961,3.3248323296961027
10,21,10,50,-60,2,0.02,0.9842105263157894,63.101604278074866,187,118,69,1035795.8515873357,3.5795851587335696
10,21,10,50,-60,2,0.03,0.8210526315789474,66.02564102564102,156,103,53,1038643.8697947459,3.8643869794745926
10,21,10,50,-60,2,0.04,0.6684210526315789,66.92913385826772,127,85,42,1034161.0299953467,3.4161029995346675
10,21,10,50,-60,2,0.05,0.5789473684210527,68.18181818181817,110,75,35,1029656.3901885177,2.9656390188517747
10,21,10,70,-100,2,0.01,0.631578947368421,62.5,120,75,45,1019208.266743462,1.920826674346195
10,21,10,70,-100,2,0.02,0.5473684210526316,64.42307692307693,104,67,37,1020256.4168288719,2.0256416828871937
10,21,10,70,-100,2,0.03,0.4631578947368421,67.04545454545455,88,59,29,1021895.4585685711,2.1895458568571136
10,21,10,70,-100,2,0.04,0.38421052631578945,68.4931506849315,73,50,23,1019719.1786223149,1.971917862231494
10,21,10,70,-100,2,0.05,0.3473684210526316,71.21212121212122,66,47,19,1020086.2629692154,2.00862629692154
10,21,10,70,-80,2,0.01,0.7631578947368421,62.758620689655174,145,91,54,1025117.7543766629,2.5117754376662895
10,21,10,70,-80,2,0.02,0.6526315789473685,64.51612903225806,124,80,44,1025047.0938512014,2.504709385120135
10,21,10,70,-80,2,0.03,0.5526315789473685,68.57142857142857,105,72,33,1030071.0955694576,3.0071095569457627
10,21,10,70,-80,2,0.04,0.47368421052631576,70.0,90,63,27,1027877.404375599,2.7877404375598998
10,21,10,70,-80,2,0.05,0.43157894736842106,73.17073170731707,82,60,22,1029165.9124035457,2.916591240354569
10,21,10,70,-60,2,0.01,0.9157894736842105,63.2183908045977,174,110,64,1031062.9800385716,3.1062980038571637
10,21,10,70,-60,2,0.02,0.7631578947368421,64.82758620689654,145,94,51,1029845.3714009628,2.9845371400962817
10,21,10,70,-60,2,0.03,0.6421052631578947,68.85245901639344,122,84,38,1034511.0585735168,3.4511058573516786
10,21,10,70,-60,2,0.04,0.5473684210526316,70.1923076923077,104,73,31,1032092.2702526277,3.209227025262767
10,21,10,70,-60,2,0.05,0.49473684210526314,72.3404255319149,94,68,26,1031425.0852829377,3.142508528293774
10,21,10,90,-100,2,0.01,0.4052631578947368,62.33766233766234,77,48,29,1011549.4193230452,1.154941932304518
10,21,10,90,-100,2,0.02,0.3526315789473684,64.17910447761194,67,43,24,1012147.629131424,1.2147629131424007
10,21,10,90,-100,2,0.03,0.30526315789473685,68.96551724137932,58,40,18,1015694.5029427129,1.5694502942712862
10,21,10,90,-100,2,0.04,0.26842105263157895,72.54901960784314,51,37,14,1017265.5362715083,1.7265536271508317
10,21,10,90,-100,2,0.05,0.2578947368421053,73.46938775510205,49,36,13,1016790.5282943646,1.6790528294364573
10,21,10,90,-80,2,0.01,0.5368421052631579,62.745098039215684,102,64,38,1017414.5000714202,1.7414500071420216
10,21,10,90,-80,2,0.02,0.45789473684210524,64.36781609195403,87,56,31,1016900.2308402737,1.690023084027367
10,21,10,90,-80,2,0.03,0.39473684210526316,70.66666666666667,75,53,22,1023820.5294263678,2.3820529426367836
10,21,10,90,-80,2,0.04,0.35789473684210527,73.52941176470588,68,50,18,1025404.131749481,2.5404131749480965
10,21,10,90,-80,2,0.05,0.34210526315789475,75.38461538461539,65,49,16,1025840.8428414788,2.5840842841478766
