MACD_FAST_LENGTH,MACD_SLOW_LENGTH,MACD_SIGNAL_LENGTH,SIZE_RATIO_THRESHOLD,DI_LENGTH,DI_SLOPE_LENGTH,MIN_SLOPE_THRESHOLD,REQUIRED_CONSECUTIVE_CANDLES,trades_per_day,win_rate,total_trades,wins,losses,final_capital,profit_percentage
12,17,10,0.7,10,7,12,1,8.115789473684211,50.778210116731515,1542,783,759,905220.7444035573,-9.477925559644273
12,17,10,0.7,10,7,12,2,5.931578947368421,50.66548358473825,1127,571,556,916796.7257065161,-8.320327429348394
12,17,10,0.7,10,7,14,1,7.026315789473684,51.31086142322098,1335,685,650,936503.0616506174,-6.349693834938261
12,17,10,0.7,10,7,14,2,4.61578947368421,50.28506271379703,877,441,436,928421.0001251345,-7.157899987486552
12,17,10,0.7,10,7,16,1,5.726315789473684,50.18382352941176,1088,546,542,930572.3398812731,-6.942766011872689
12,17,10,0.7,10,7,16,2,3.6789473684210527,53.36194563662375,699,373,326,982685.8341560236,-1.731416584397643
12,17,10,0.7,10,7,18,1,4.426315789473684,50.178359096313905,841,422,419,939526.3450930985,-6.047365490690153
12,17,10,0.7,10,7,18,2,2.7,51.07212475633528,513,262,251,968310.856263566,-3.1689143736434056
12,17,10,0.7,10,9,12,1,8.810526315789474,50.05973715651135,1674,838,836,876434.4769668055,-12.356552303319447
12,17,10,0.7,10,9,12,2,6.894736842105263,50.15267175572519,1310,657,653,893304.7930559723,-10.669520694402767
12,17,10,0.7,10,9,14,1,7.61578947368421,49.89633724948169,1447,722,725,896993.4366262377,-10.30065633737623
12,17,10,0.7,10,9,14,2,5.552631578947368,49.28909952606635,1055,520,535,894197.6822112256,-10.580231778877438
12,17,10,0.7,10,9,16,1,6.4526315789473685,50.08156606851549,1226,614,612,912537.6945571286,-8.74623054428714
12,17,10,0.7,10,9,16,2,4.552631578947368,49.36416184971098,865,427,438,922458.360432652,-7.754163956734795
12,17,10,0.7,10,9,18,1,5.221052631578948,51.00806451612904,992,506,486,945267.3005109015,-5.47326994890985
12,17,10,0.7,10,9,18,2,3.336842105263158,50.63091482649842,634,321,313,954322.8924230051,-4.567710757699492
12,17,10,0.7,10,11,12,1,9.357894736842105,51.293588301462314,1778,912,866,907044.9126330075,-9.295508736699249
12,17,10,0.7,10,11,12,2,7.247368421052632,50.68990559186638,1377,698,679,913268.9546371074,-8.673104536289255
12,17,10,0.7,10,11,14,1,8.178947368421053,52.123552123552116,1554,810,744,941691.6428393064,-5.830835716069362
12,17,10,0.7,10,11,14,2,6.105263157894737,49.310344827586206,1160,572,588,893089.7490094444,-10.691025099055562
12,17,10,0.7,10,11,16,1,6.815789473684211,51.81467181467182,1295,671,624,939658.0638283129,-6.034193617168709
12,17,10,0.7,10,11,16,2,4.994736842105263,49.209694415173864,949,467,482,912301.6354064659,-8.769836459353415
12,17,10,0.7,10,11,18,1,5.621052631578947,51.12359550561798,1068,546,522,939260.6497693085,-6.073935023069149
12,17,10,0.7,10,11,18,2,3.8421052631578947,50.54794520547945,730,369,361,946184.1653397976,-5.3815834660202375
12,17,10,0.7,10,13,12,1,9.952631578947368,51.93019566367002,1891,982,909,925251.4128386473,-7.474858716135274
12,17,10,0.7,10,13,12,2,7.526315789473684,52.02797202797203,1430,744,686,937018.5950838291,-6.298140491617087
12,17,10,0.7,10,13,14,1,8.363157894736842,52.926368785399625,1589,841,748,971967.008072152,-2.8032991927847966
12,17,10,0.7,10,13,14,2,6.294736842105263,51.08695652173913,1196,611,585,927061.1897204173,-7.293881027958274
12,17,10,0.7,10,13,16,1,7.036842105263158,52.43081525804038,1337,701,636,964020.1506805539,-3.597984931944613
12,17,10,0.7,10,13,16,2,5.121052631578947,52.723535457348405,973,513,460,971876.0812071592,-2.812391879284079
12,17,10,0.7,10,13,18,1,5.9,52.185548617305976,1121,585,536,960119.5654030221,-3.98804345969779
12,17,10,0.7,10,13,18,2,4.242105263157895,50.49627791563276,806,407,399,940123.3907914254,-5.987660920857463
12,17,10,0.7,10,15,12,1,10.142105263157895,51.63466528282304,1927,995,932,910791.5838406777,-8.920841615932225
12,17,10,0.7,10,15,12,2,7.742105263157895,51.46159075458871,1471,757,714,922578.1942607665,-7.74218057392335
12,17,10,0.7,10,15,14,1,8.605263157894736,53.21100917431193,1635,870,765,972992.4792136009,-2.7007520786399137
